conspire 1
seeking 1
that 1
beauteous 1
roof 1
to 1
ruinate 1
which 1
to 1
repair 1
should 1
be 1
thy 1
chief 1
desire 1
o 1
change 1
thy 1
thought 1
that 1
i 1
may 1
change 1
my 1
mind 1
shall 1
hate 1
be 1
fairer 1
lodged 1
than 1
gentle 1
love 1
be 1
as 1
thy 1
presence 1
is 1
gracious 1
and 1
kind 1
or 1
to 1
thyself 1
at 1
least 1
kind-hearted 1
prove 1
make 1
thee 1
another 1
self 1
for 1
love 1
of 1
me 1
that 1
beauty 1
still 1
may 1
live 1
in 1
thine 1
or 1
thee 1
as 1
fast 1
as 1
thou 1
shalt 1
wane 1
so 1
fast 1
thou 1
grow'st 1
in 1
one 1
of 1
thine 1
from 1
that 1
which 1
thou 1
departest 1
and 1
that 1
fresh 1
blood 1
which 1
youngly 1
thou 1
bestow'st 1
thou 1
mayst 1
call 1
thine 1
when 1
thou 1
from 1
youth 1
convertest 1
herein 1
lives 1
wisdom 1
beauty 1
and 1
increase 1
without 1
this 1
folly 1
age 1
and 1
cold 1
decay 1
if 1
all 1
were 1
minded 1
so 1
the 1
times 1
should 1
cease 1
and 1
threescore 1
year 1
would 1
make 1
the 1
world 1
away 1
let 1
those 1
whom 1
nature 1
hath 1
not 1
made 1
for 1
store 1
harsh 1
featureless 1
and 1
rude 1
barrenly 1
perish 1
look 1
whom 1
she 1
best 1
endowed 1
she 1
gave 1
the 1
more 1
which 1
bounteous 1
gift 1
thou 1
shouldst 1
in 1
bounty 1
cherish 1
she 1
carved 1
thee 1
for 1
her 1
seal 1
and 1
meant 1
thereby 1
thou 1
shouldst 1
print 1
more 1
not 1
let 1
that 1
copy 1
die 1
when 1
i 1
do 1
count 1
the 1
clock 1
that 1
tells 1
the 1
time 1
and 1
see 1
the 1
brave 1
day 1
sunk 1
in 1
hideous 1
night 1
when 1
i 1
behold 1
the 1
violet 1
past 1
prime 1
and 1
sable 1
curls 1
all 1
silvered 1
o'er 1
with 1
white 1
when 1
lofty 1
trees 1
i 1
see 1
barren 1
of 1
leaves 1
which 1
erst 1
from 1
heat 1
did 1
canopy 1
the 1
herd 1
and 1
summer's 1
green 1
all 1
girded 1
up 1
in 1
sheaves 1
borne 1
on 1
the 1
bier 1
with 1
white 1
and 1
bristly 1
beard 1
then 1
of 1
thy 1
beauty 1
do 1
i 1
question 1
make 1
that 1
thou 1
among 1
the 1
wastes 1
of 1
time 1
must 1
go 1
since 1
sweets 1
and 1
beauties 1
do 1
themselves 1
forsake 1
and 1
die 1
as 1
fast 1
as 1
they 1
see 1
others 1
grow 1
and 1
nothing 1
'gainst 1
time's 1
scythe 1
can 1
make 1
defence 1
save 1
breed 1
to 1
brave 1
him 1
when 1
he 1
takes 1
thee 1
hence 1
o 1
that 1
you 1
were 1
your 1
self 1
but 1
love 1
you 1
are 1
no 1
longer 1
yours 1
than 1
you 1
your 1
self 1
here 1
live 1
against 1
this 1
coming 1
end 1
you 1
should 1
prepare 1
and 1
your 1
sweet 1
semblance 1
to 1
some 1
other 1
give 1
so 1
should 1
that 1
beauty 1
which 1
you 1
hold 1
in 1
lease 1
find 1
no 1
determination 1
then 1
you 1
were 1
yourself 1
again 1
after 1
yourself's 1
decease 1
when 1
your 1
sweet 1
issue 1
your 1
sweet 1
form 1
should 1
bear 1
who 1
lets 1
so 1
fair 1
a 1
house 1
fall 1
to 1
decay 1
which 1
husbandry 1
in 1
honour 1
might 1
uphold 1
against 1
the 1
stormy 1
gusts 1
of 1
winter's 1
day 1
and 1
barren 1
rage 1
of 1
death's 1
eternal 1
cold 1
o 1
none 1
but 1
unthrifts 1
dear 1
my 1
love 1
you 1
know 1
you 1
had 1
a 1
father 1
let 1
your 1
son 1
say 1
so 1
not 1
from 1
the 1
stars 1
do 1
i 1
my 1
judgement 1
pluck 1
and 1
yet 1
methinks 1
i 1
have 1
astronomy 1
but 1
not 1
to 1
tell 1
of 1
good 1
or 1
evil 1
luck 1
of 1
plagues 1
of 1
dearths 1
or 1
seasons' 1
quality 1
nor 1
can 1
i 1
fortune 1
to 1
brief 1
minutes 1
tell 1
pointing 1
to 1
each 1
his 1
thunder 1
rain 1
and 1
wind 1
or 1
say 1
with 1
princes 1
if 1
it 1
shall 1
go 1
well 1
by 1
oft 1
predict 1
that 1
i 1
in 1
heaven 1
find 1
but 1
from 1
thine 1
eyes 1
my 1
knowledge 1
i 1
derive 1
and 1
constant 1
stars 1
in 1
them 1
i 1
read 1
such 1
art 1
as 1
truth 1
and 1
beauty 1
shall 1
together 1
thrive 1
if 1
from 1
thyself 1
to 1
store 1
thou 1
wouldst 1
convert 1
or 1
else 1
of 1
thee 1
this 1
i 1
prognosticate 1
thy 1
end 1
is 1
truth's 1
and 1
beauty's 1
doom 1
and 1
date 1
when 1
i 1
consider 1
every 1
thing 1
that 1
grows 1
holds 1
in 1
perfection 1
but 1
a 1
little 1
moment 1
that 1
this 1
huge 1
stage 1
presenteth 1
nought 1
but 1
shows 1
whereon 1
the 1
stars 1
in 1
secret 1
influence 1
comment 1
when 1
i 1
perceive 1
that 1
men 1
as 1
plants 1
increase 1
cheered 1
and 1
checked 1
even 1
by 1
the 1
self-same 1
sky 1
vaunt 1
in 1
their 1
youthful 1
sap 1
at 1
height 1
decrease 1
and 1
wear 1
their 1
brave 1
state 1
out 1
of 1
memory 1
then 1
the 1
conceit 1
of 1
this 1
inconstant 1
stay 1
sets 1
you 1
most 1
rich 1
in 1
youth 1
before 1
my 1
sight 1
where 1
wasteful 1
time 1
debateth 1
with 1
decay 1
to 1
change 1
your 1
day 1
of 1
youth 1
to 1
sullied 1
night 1
and 1
all 1
in 1
war 1
with 1
time 1
for 1
love 1
of 1
you 1
as 1
he 1
takes 1
from 1
you 1
i 1
engraft 1
you 1
new 1
but 1
wherefore 1
do 1
not 1
you 1
a 1
mightier 1
way 1
make 1
war 1
upon 1
this 1
bloody 1
tyrant 1
